queue_ns,network_ns,total_ns
182,110468,110650
157,94621,94778
228,94681,94909
180,98951,99131
167,96233,96400
147,92007,92154
157,99741,99898
554,99653,100207
118,97284,97402
226,91148,91374
160,99073,99233
147,90611,90758
160,91074,91234
157,99358,99515
158,94405,94563
142,104636,104778
157,96990,97147
152,111122,111274
167,82159,82326
172,101068,101240
147,119525,119672
158,104734,104892
150,97452,97602
152,110749,110901
157,102414,102571
147,97944,98091
143,96812,96955
147,93363,93510
119,100193,100312
158,99447,99605
187,96960,97147
167,97874,98041
118,108105,108223
158,100178,100336
158,99701,99859
157,94719,94876
2958,97747,100705
191,97201,97392
178,100341,100519
128,104764,104892
207,98665,98872
158,107289,107447
187,91064,91251
197,100773,100970
187,103191,103378
177,107530,107707
227,97240,97467
207,125893,126100
188,100733,100921
196,98592,98788
178,105549,105727
138,93304,93442
187,116910,117097
187,97520,97707
197,95668,95865
158,107594,107752
197,97894,98091
187,102237,102424
197,96881,97078
177,98218,98395
206,100690,100896
187,96596,96783
109,106699,106808
128,96110,96238
167,98031,98198
167,87535,87702
176,99938,100114
197,98729,98926
166,99781,99947
172,96174,96346
240,105117,105357
285,100311,100596
148,113554,113702
181,94140,94321
270,108326,108596
197,109815,110012
197,108980,109177
12549,108499,121048
196,101265,101461
187,105147,105334
186,120430,120616
127,119349,119476
189,103939,104128
2692,120990,123682
157,108675,108832
167,99457,99624
113,110449,110562
157,144773,144930
167,97078,97245
167,101629,101796
157,104125,104282
157,89452,89609
256,104036,104292
147,113196,113343
157,102322,102479
167,103595,103762
138,94523,94661
167,117028,117195
167,92774,92941
167,109059,109226
148,100931,101079
176,94927,95103
157,99447,99604
158,100144,100302
153,109018,109171
157,94395,94552
167,99063,99230
152,95481,95633
158,100999,101157
167,80174,80341
167,107505,107672
152,97215,97367
148,98807,98955
167,95295,95462
118,107289,107407
128,93058,93186
167,98690,98857
168,95849,96017
157,92194,92351
154,111616,111770
233,103676,103909
311,104186,104497
17873,99991,117864
135,104294,104429
155,99086,99241
184,103144,103328
194,106780,106974
214,108274,108488
135,93631,93766
155,103823,103978
2572,108619,111191
204,103253,103457
184,95705,95889
164,97562,97726
224,97400,97624
213,98285,98498
184,105277,105461
223,92295,92518
238,102742,102980
214,100038,100252
135,102103,102238
193,108501,108694
204,97980,98184
184,89995,90179
213,93317,93530
1378,107056,108434
184,93057,93241
204,88879,89083
129,96452,96581
198,100482,100680
214,100579,100793
253,105199,105452
233,95351,95584
233,96776,97009
184,94506,94690
130,94507,94637
101,108156,108257
194,111429,111623
116,99302,99418
213,95067,95280
140,103252,103392
233,94192,94425
12714,110908,123622
243,99007,99250
223,109317,109540
248,115626,115874
248,126358,126606
252,115646,115898
144,92329,92473
257,113572,113829
2720,110810,113530
175,99007,99182
184,103803,103987
185,117041,117226
175,97071,97246
218,97995,98213
139,111902,112041
154,110467,110621
223,94802,95025
184,108157,108341
69273,120972,190245
20361,74035,94396
233,103105,103338
214,109434,109648
174,93238,93412
214,98270,98484
233,118526,118759
571,95286,95857
202,136478,136680
191,93919,94110
231,97284,97515
191,103884,104075
271,99098,99369
182,91806,91988
181,96691,96872
173,96316,96489
172,91825,91997
231,96454,96685
182,93741,93923
182,90518,90700
212,91373,91585
202,95009,95211
201,105201,105402
241,101751,101992
202,108169,108371
182,98724,98906
192,100562,100754
211,99521,99732
192,93731,93923
231,103107,103338
143,91491,91634
212,113028,113240
142,87447,87589
165,102144,102309
212,97274,97486
192,100500,100692
187,91127,91314
202,90567,90769
172,90931,91103
211,94607,94818
182,95142,95324
182,95933,96115
133,87894,88027
197,95422,95619
191,100935,101126
192,94945,95137
182,99845,100027
123,96503,96626
172,117328,117500
191,125073,125264
156,93240,93396
285,99142,99427
168,91485,91653
187,90385,90572
123,99367,99490
192,98444,98636
177,94228,94405
177,105034,105211
167,93265,93432
