queue_ns,network_ns,total_ns
200,136000,136200
100,116400,116500
100,66800,66900
100,47300,47400
100,51600,51700
100,32300,32400
100,12500,12600
200,33600,33800
100,14800,14900
300,28900,29200
200,26900,27100
100,44300,44400
100,21100,21200
100,53300,53400
200,31000,31200
100,61000,61100
100,42100,42200
100,48400,48500
200,40500,40700
100,21400,21500
100,29000,29100
100,46000,46100
200,26900,27100
100,34000,34100
200,56000,56200
200,30200,30400
200,20700,20900
100,23500,23600
200,29500,29700
200,25500,25700
100,22600,22700
100,22400,22500
200,22600,22800
200,23700,23900
200,25600,25800
100,28500,28600
100,24600,24700
100,23300,23400
200,21900,22100
100,22300,22400
100,22300,22400
100,22200,22300
100,22700,22800
200,22200,22400
200,22300,22500
100,22200,22300
200,23900,24100
100,22000,22100
100,22500,22600
100,22200,22300
200,23500,23700
100,24000,24100
100,23400,23500
100,22200,22300
100,21700,21800
100,22300,22400
100,22200,22300
200,26700,26900
1600,42700,44300
100,24700,24800
100,25100,25200
100,23300,23400
100,22000,22100
100,22300,22400
100,22100,22200
100,22200,22300
100,22200,22300
100,22300,22400
100,22200,22300
100,22200,22300
100,24100,24200
100,22600,22700
100,22400,22500
100,22300,22400
100,22200,22300
100,22300,22400
100,22100,22200
100,22400,22500
100,22400,22500
100,22600,22700
100,22200,22300
100,22200,22300
100,24700,24800
100,25500,25600
100,24400,24500
100,23300,23400
100,25300,25400
100,16300,16400
100,24100,24200
100,23200,23300
100,23700,23800
100,24500,24600
200,24200,24400
100,23200,23300
100,23800,23900
100,24100,24200
100,23400,23500
100,23400,23500
100,23000,23100
100,23200,23300
100,26200,26300
100,23800,23900
100,23400,23500
100,23100,23200
100,23200,23300
100,23100,23200
100,23200,23300
100,23400,23500
100,24800,24900
100,54100,54200
100,26800,26900
100,25800,25900
100,25800,25900
200,26100,26300
100,23600,23700
200,53100,53300
100,31200,31300
100,21200,21300
100,26900,27000
100,24700,24800
100,25300,25400
100,24900,25000
200,25800,26000
100,28700,28800
100,25800,25900
100,25200,25300
100,23400,23500
100,24600,24700
100,23200,23300
100,25500,25600
100,23100,23200
200,24500,24700
100,26400,26500
100,23900,24000
100,36600,36700
100,18500,18600
100,24700,24800
100,24300,24400
100,25600,25700
200,24400,24600
100,23600,23700
100,23000,23100
100,23100,23200
100,23200,23300
100,23700,23800
200,23400,23600
100,23200,23300
100,24600,24700
200,24000,24200
200,23100,23300
100,25800,25900
100,23200,23300
100,25000,25100
100,34100,34200
100,23600,23700
200,23000,23200
100,23100,23200
100,22700,22800
100,23900,24000
100,24500,24600
100,22900,23000
100,23300,23400
100,23000,23100
100,23200,23300
100,24000,24100
100,23000,23100
100,24300,24400
100,25900,26000
200,23600,23800
100,23800,23900
100,23300,23400
100,26400,26500
100,24700,24800
100,23200,23300
100,25000,25100
100,30100,30200
100,34000,34100
100,38100,38200
100,45400,45500
100,40400,40500
100,20800,20900
100,11800,11900
100,23400,23500
100,23100,23200
100,23100,23200
100,23300,23400
100,24100,24200
100,26900,27000
100,24200,24300
100,23600,23700
100,23000,23100
300,23500,23800
100,24800,24900
100,22700,22800
100,23200,23300
100,23400,23500
200,23100,23300
100,24500,24600
100,23400,23500
100,23200,23300
100,37400,37500
100,18800,18900
